Empty;Team;Opponent;Empty2;Empty3;wOBA;wOBA_Diff;ISO;ISO_Diff;SLG;SO/AB;HR/AB;SB/G;Pro;My;Ump;Bargain;ParkRank;Runs;Opp_Run;Delta;ML;OU;ML%;Temp;Rating;WindSpd;WindDir;Humidity;Adv15_Cnt;Adv15_Dist;Adv15_EV;Adv15_FB;Adv15_GB;Adv15_LD;Adv15_HH;Adv15_DistDelta;Adv15_EVDelta;Adv15_HHDelta;Adv15_Air;AdvYear_Cnt;AdvYear_Dist;AdvYear_EV;AdvYear_FB;AdvYear_GB;AdvYear_LD;AdvYear_HH;AdvYear_GB/FB;AdvYear_Air;FantYear_PPG;FantYear_Change;FantYear_PlusMinus;FantYear_Consist;FantYear_Upside;FantYear_Duds;FantYear_Count;FantMonth_PPG;FantMonth_Change;FantMonth_Consist;FantMonth_Upside;FantMonth_Duds;FantMonth_Count
;@LAD - D May (R);@LAD;Dodger Stadium;;;5.79;17.5;1.5;0.15;827.1;;5.64;7.1;0%;0;0;0;0;0;0;;;0;0;;91%;50;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;4.8;$0;-0.2;4%;4%;12%;25;;;;;;
;@LAD - D May (R);@LAD;Dodger Stadium;;;5.95;17.7;1.5;0.08;743.8;;5.87;;0%;0;0;0;0;0;0;;;0;0;;50%;45;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;;$0;;;;;0;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;5.81;17;1.5;-0.94;484.2;;6.75;2.6;0%;0;0.361;-0.111;0.183;-0.052;0.47;0.157;;0;0;;62%;50;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;8.2;$0;0.7;32%;17%;30%;68;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;5.95;19.3;1.4;-0.8;495.8;;6.75;0;0%;0;0.336;0.059;0.148;0.083;0.419;0.226;;0;0;;49%;44;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;7.3;$0;0.1;35%;14%;32%;74;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;4.98;14.4;1.3;-1.11;553.3;;6.09;0;0%;0;0.473;-0.404;0.176;0.176;0.588;0.412;;0;0;;59%;50;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;2;$0;-1.8;2%;0%;41%;41;;;;;;
;@LAD - D May (R);@LAD;Dodger Stadium;;;5.45;14.8;1.5;-0.64;605.6;;6.09;0;0%;0;0.284;0.076;0.098;0.078;0.318;0.22;;0;0;;31%;45;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;4.9;$0;-1.4;23%;6%;45%;60;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;10.47;33.7;2.5;1.72;498.6;;8.75;25.1;;0;0.662;0.322;0.576;0.387;1.034;0.153;;0;0;;89%;61;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;10.8;$0;1.5;45%;15%;27%;59;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;9.74;31.2;2.4;1.21;487;;8.53;6.4;;0;0.385;0.003;0.231;-0.009;0.551;0.256;;0;0;;97%;61;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;9.3;$0;0.5;33%;13%;37%;59;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;8.31;26.7;2;2.22;923.3;;6.09;18;;0;0.345;0.035;0.227;0.062;0.515;0.061;;0;0;;88%;61;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;7.8;$0;0.3;38%;22%;37%;59;;;;;;
;KC - D Duffy (L);KC;Progressive Field;;;10.13;36.1;2.3;1.6;506.5;;8.53;0;;0;0.321;-0.047;0.186;-0.103;0.43;0.163;;0;0;;100%;17;5.1;3.5;-0.1;-207;8.5;65;44;76.72;5.57;In;0.65;1%;9.7;$0;0.9;49%;19%;29%;61;;;;;;
